ft,bt,km,transmission,ownerNo,oem,model,modelYear,variantName,price,Registration Year,Insurance_Type,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Mileage kmpl,Engine CC,seater,City
Diesel,Sedan,49930,Manual,1,Hyundai,Hyundai Verna,2021,SX Diesel,110300.0,2021,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,25.0,1493,5.0,Delhi
Diesel,SUV,54000,Manual,1,Maruti,Maruti Vitara Brezza,2017,VDi,64500.0,2017,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player,24.3,1248,,Delhi
Petrol,Sedan,1200,Automatic,1,Mercedes-Benz,Mercedes-Benz AMG A 35,2021,4MATIC BSVI,515000.0,2021,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,1991.0,301.73,,Delhi
Petrol,SUV,7000,Automatic,1,Audi,Audi Q2,2020,Premium Plus I,279000.0,2020,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,1984.0,187.74,,Delhi
Cng,MUV,40000,Manual,1,Maruti,Maruti Ertiga,2021,CNG VXI,110000.0,2021,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Radio,26.08,1462,,Delhi
Diesel,SUV,83000,Automatic,3,Mercedes-Benz,Mercedes-Benz M-Class,2014,ML 250 CDI,157000.0,2014,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,15.26,2143,5.0,Delhi
Petrol,Hatchback,60000,Manual,2,Hyundai,Hyundai i10,2011,Magna 1.2 iTech SE,13000.0,2011,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Power Adjustable Exterior Rear View Mirror,Wheel Covers,Centeral Locking,Day Night Rear View Mirror,,20.36,1197,5.0,Delhi
Cng,Sedan,100000,Manual,1,Maruti,Maruti Swift Dzire Tour,2018,1.2 S STD CNG,30000.0,2018,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,,26.55,1197,,Delhi
Petrol,Hatchback,60000,Manual,2,Hyundai,Hyundai i10,2009,Magna 1.2,85000.0,2009,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Manually Adjustable Exterior Rear View Mirror,Power Antenna,Centeral Locking,Day Night Rear View Mirror,,20.36,1197,5.0,Delhi
Petrol,SUV,25000,Automatic,1,Volvo,Volvo XC40,2020,T4 R-Design,375000.0,2020,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,1969.0,187.40,,Delhi
Petrol,Sedan,67593,Manual,1,Honda,Honda Amaze,2015,S i-Vtech,42200.0,2015,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Centeral Locking,Power Door Locks,Radio,18.0,1198,,Delhi
Diesel,SUV,50000,Automatic,1,Hyundai,Hyundai Creta,2020,SX Diesel AT BSVI,150000.0,2020,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,18.5,1493,5.0,Delhi
Petrol,Hatchback,88882,Manual,1,Maruti,Maruti Baleno,2016,1.2 Delta,49500.0,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player,21.4,1197,,Delhi
Petrol,Sedan,78986,Manual,1,Toyota,Toyota Corolla Altis,2016,G MT,81500.0,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,14.28,1798,5.0,Delhi
Diesel,Sedan,100000,Manual,1,Maruti,Maruti Swift Dzire,2014,LDI,21500.0,2014,Third Party insurance,Power Steering,Remote Trunk Opener,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Power Door Locks,Child Safety Locks,,23.4,1248,5.0,Delhi
Petrol,Hatchback,24727,Manual,2,Hyundai,Hyundai i20 Active,2015,1.2 S,50199.99999999999,2015,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,17.19,1197,5.0,Delhi
Diesel,SUV,70000,Automatic,3,Audi,Audi Q3,2014,2.0 TDI,80000.0,2014,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,15.73,1968,5.0,Delhi
Petrol,Sedan,34000,Automatic,1,Mercedes-Benz,Mercedes-Benz S-Class,2019,Maybach S560,159000.0,2019,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,7.08,3982,4.0,Delhi
Petrol,Hatchback,79328,Automatic,1,Honda,Honda Jazz,2017,1.2 V AT i VTEC,56500.0,2017,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,19.0,1199,5.0,Delhi
Petrol,Hatchback,50000,Manual,1,Maruti,Maruti Alto K10,2017,VXI,28000.0,2017,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player,23.95,998,,Delhi
Petrol,Hatchback,62113,Manual,2,Maruti,Maruti Baleno,2017,1.2 Delta,52400.0,2017,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player,21.4,1197,,Delhi
Petrol,SUV,2300,Manual,1,Hyundai,Hyundai Creta,2023,SX,165000.0,2023,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,1497.0,113.18,,Delhi
Petrol,Sedan,120000,Automatic,3,Toyota,Toyota Corolla Altis,2013,1.8 VL AT,45000.0,2013,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,14.53,1794,5.0,Delhi
Diesel,Hatchback,120000,Manual,2,Tata,Tata Tiago,2018,1.05 Revotorq XT,31500.0,2018,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player,27.28,1047,,Delhi
Petrol,Sedan,120000,Automatic,3,Toyota,Toyota Corolla Altis,2013,1.8 VL AT,45000.0,2013,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,14.53,1794,5.0,Delhi
Petrol,SUV,5000,Automatic,1,Volvo,Volvo XC40,2022,T4 R-Design,440000.0,2022,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,1969.0,187.40,,Delhi
Petrol,SUV,10000,Manual,2,Hyundai,Hyundai Creta,2021,S BSVI,112000.0,2021,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,1497.0,113.18,,Delhi
Petrol,Sedan,60000,Manual,2,Hyundai,Hyundai Verna,2018,VTVT 1.6 SX,75000.0,2018,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,17.0,1591,5.0,Delhi
Petrol,Hatchback,30000,Manual,1,Maruti,Maruti Baleno,2021,Zeta,63500.0,2021,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,21.01,1197,5.0,Delhi
Diesel,SUV,67000,Manual,1,Jeep,Jeep Compass,2018,2.0 Limited,111000.0,2018,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,17.1,1956,5.0,Delhi
Petrol,Hatchback,86183,Manual,1,Hyundai,Hyundai Grand i10,2016,Asta Option,45000.0,2017,Zero Dep,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,18.9,1197,5.0,Delhi
Diesel,Sedan,70000,Manual,1,Toyota,Toyota Etios,2013,VD,26000.0,2013,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Centeral Locking,Day Night Rear View Mirror,Cd Player,23.59,1364,5.0,Delhi
Petrol,Hatchback,88991,Manual,1,Maruti,Maruti Swift,2013,VXI,34600.0,2013,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Radio,22.38,1197,,Delhi
Diesel,SUV,18000,Automatic,2,BMW,BMW X4,2019,M Sport X xDrive20d,526000.0,2019,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,16.55,1995,5.0,Delhi
Petrol,SUV,55000,Automatic,1,Jeep,Jeep Compass,2019,1.4 Longitude Plus AT,147500.0,2019,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,14.1,1368,5.0,Delhi
Cng,Hatchback,62657,Manual,1,Maruti,Maruti S-Presso,2021,VXI CNG 2019-2020,47900.0,2021,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,31.2,998,,Delhi
Petrol,Hatchback,16452,Automatic,1,Renault,Renault KWID,2017,1.0 AMT RXT,30000.0,2017,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,24.04,999,,Delhi
Petrol,Sedan,40000,Automatic,2,Mercedes-Benz,Mercedes-Benz CLA,2017,200 CGI Sport,247500.0,2017,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,15.04,1991,5.0,Delhi
Cng,Hatchback,31029,Manual,1,Tata,Tata Tiago,2022,XZ Plus CNG BSVI,74000.0,2022,Zero Dep,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,26.49,1199,,Delhi
Petrol,Hatchback,40000,Manual,2,Maruti,Maruti Swift,2018,VXI 2018,45000.0,2018,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Cd Player,22.0,1197,,Delhi
Petrol,Hatchback,46724,Manual,2,Hyundai,Hyundai i20,2014,Sportz 1.2,40300.0,2014,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,18.5,1197,5.0,Delhi
Petrol,Sedan,86000,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2011,C 200 CGI,75000.0,2011,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Cd Player,14.74,1991,5.0,Delhi
Diesel,SUV,40000,Manual,1,Mahindra,Mahindra XUV500,2015,W10 2WD,80000.0,2015,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,16.0,2179,7.0,Delhi
Petrol,Sedan,80000,Automatic,1,Toyota,Toyota Camry,2015,Hybrid,142500.0,2015,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,19.16,2494,5.0,Delhi
Petrol,Sedan,70000,Automatic,1,Toyota,Toyota Camry,2015,Hybrid,142500.0,2015,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,19.16,2494,5.0,Delhi
Petrol,Sedan,60000,Manual,1,Honda,Honda City,2016,i VTEC V,66000.0,2017,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,17.4,1497,5.0,Delhi
Petrol,Hatchback,60000,Manual,1,Maruti,Maruti Wagon R,2009,LXI Minor,15000.0,2009,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,Child Safety Locks,,18.9,1061,5.0,Delhi
Cng,MUV,40000,Manual,1,Maruti,Maruti Ertiga,2021,CNG VXI,110000.0,2021,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Radio,26.08,1462,,Delhi
Diesel,Hatchback,80000,Manual,4,Maruti,Maruti Celerio,2015,ZDi,22000.0,2015,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player,27.62,793,,Delhi
Diesel,SUV,90000,Automatic,1,Ford,Ford Endeavour,2019,3.2 Titanium AT 4X4,280000.0,2019,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,10.91,3198,7.0,Delhi
Cng,Hatchback,71727,Manual,1,Hyundai,Hyundai Grand i10 Nios,2021,Sportz CNG,67600.0,2021,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,1197.0,68.05,,Delhi
Diesel,Sedan,73000,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2013,E250 CDI Avantgarde,112500.0,2013,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,14.21,2143,5.0,Delhi
Petrol,SUV,85482,Manual,1,Honda,Honda WR-V,2017,i-VTEC VX,68600.0,2017,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,17.5,1199,5.0,Delhi
Petrol,SUV,54500,Automatic,2,Mercedes-Benz,Mercedes-Benz GLA,2016,4MATIC,230000.0,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Cd Player,12.33,1991,5.0,Delhi
Cng,Hatchback,60000,Manual,2,Maruti,Maruti Celerio,2016,Green VXI,26000.0,2016,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,Child Safety Locks,,31.79,998,,Delhi
Petrol,Sedan,89581,Manual,1,Hyundai,Hyundai Verna,2017,1.6 SX VTVT,79800.0,2018,Zero Dep,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,17.01,1591,5.0,Delhi
Petrol,Sedan,110000,Automatic,2,Skoda,Skoda Rapid,2014,1.6 MPI AT Ambition Plus,27500.0,2014,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,14.3,1598,5.0,Delhi
Diesel,SUV,79500,Automatic,1,Mercedes-Benz,Mercedes-Benz GLS,2016,350d Grand Edition,489000.0,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,11.0,2987,7.0,Delhi
Petrol,Sedan,69164,Manual,2,Toyota,Toyota Etios,2011,V,25000.0,2011,Third Party,,,,,,,,,,17.6,1496,,Delhi
Petrol,SUV,28000,Automatic,1,Honda,Honda CR-V,2016,2.0L 2WD AT,145000.0,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,13.7,1997,5.0,Delhi
Diesel,SUV,66175,Manual,1,Maruti,Maruti Vitara Brezza,2018,ZDi Plus,78700.0,2018,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,24.3,1248,5.0,Delhi
Petrol,SUV,22000,Automatic,2,Porsche,Porsche Macan,2020,S,750000.0,2020,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Electric Folding Rear View Mirror,Anti Lock Braking System,Brake Assist,Radio,2894.0,375.48,,Delhi
Petrol,Sedan,47001,Manual,1,Tata,Tata Tigor,2017,1.2 Revotron XZ,48500.0,2017,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,20.3,1199,5.0,Delhi
Diesel,SUV,145000,Automatic,1,Toyota,Toyota Fortuner,2016,2.8 4WD AT,171500.0,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Dvd Player,15.04,2755,7.0,Delhi
Petrol,Sedan,19000,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2021,Exclusive E 200 BSVI,610000.0,2021,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Radio,15.0,1991,5.0,Delhi
Diesel,Sedan,43600,Automatic,2,Audi,Audi A4,2015,2.0 TDI Premium Plus,120000.0,2015,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,17.11,1968,5.0,Delhi
Petrol,Hatchback,63521,Manual,1,Hyundai,Hyundai Grand i10,2016,Sportz CNG,42500.0,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Centeral Locking,Power Door Locks,Cd Player,25.0,1197,,Delhi
Petrol,Sedan,18021,Manual,1,Maruti,Maruti Swift Dzire,2021,VXI BSVI,70000.0,2021,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Cd Player,22.41,1197,,Delhi
Petrol,Hatchback,90000,Manual,1,Maruti,Maruti Wagon R,2008,LX BSIII,61000.0,2008,Third Party insurance,Remote Trunk Opener,Remote Fuel Lid Opener,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Child Safety Locks,Day Night Rear View Mirror,,17.3,1061,5.0,Delhi
Diesel,SUV,38000,Automatic,1,Mercedes-Benz,Mercedes-Benz G,2021,G 350d,245000.00000000003,2021,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Cd Player,8.13,2925,5.0,Delhi
Petrol,Hatchback,39076,Manual,1,Ford,Ford Figo,2021,Titanium,71100.0,2021,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Rear,Anti Lock Braking System,Centeral Locking,Radio,18.5,1194,5.0,Delhi
Petrol,SUV,36000,Automatic,1,Mercedes-Benz,Mercedes-Benz GLC,2020,200,525000.0,2020,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,12.74,1991,5.0,Delhi
Cng,Hatchback,106848,Manual,1,Maruti,Maruti Celerio,2018,VXI CNG,42300.00000000001,2018,Zero Dep,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,,35.6,998,,Delhi
Diesel,MUV,105000,Manual,1,Toyota,Toyota Innova Crysta,2017,2.4 ZX MT,150000.0,2017,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,13.68,2393,7.0,Delhi
Petrol,Convertibles,6500,Automatic,2,Mini,Mini Cooper Convertible,2020,S,445000.0,2020,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Rear,Anti Lock Braking System,Brake Assist,Radio,16.72,1998,4.0,Delhi
Petrol,Hatchback,111237,Manual,2,Hyundai,Hyundai i10,2010,Magna,14000.0,2010,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Manually Adjustable Exterior Rear View Mirror,Power Antenna,Centeral Locking,Day Night Rear View Mirror,,20.36,1197,5.0,Delhi
Petrol,Hatchback,70000,Automatic,2,Volkswagen,Volkswagen Polo,2018,GT TSI,71500.0,2018,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,17.21,1197,5.0,Delhi
Diesel,SUV,95000,Automatic,2,Volvo,Volvo XC 90,2015,D5 AT AWD,107500.0,2015,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,11.1,2400,7.0,Delhi
Petrol,SUV,13278,Manual,1,Nissan,Nissan Magnite,2022,XV Premium BSVI,83699.99999999999,2022,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,18.75,999,5.0,Delhi
Diesel,SUV,35000,Automatic,2,Mahindra,Mahindra Thar,2022,LX 4-Str Hard Top Diesel AT BSVI,165000.0,2022,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,2184.0,130,,Delhi
Petrol,SUV,12255,Manual,1,Nissan,Nissan Magnite,2022,Turbo XV BSVI,89400.0,2022,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,20.0,999,5.0,Delhi
Petrol,SUV,68000,Automatic,1,Mercedes-Benz,Mercedes-Benz GLS,2017,400 4MATIC,625000.0,2017,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,8.9,2996,7.0,Delhi
Diesel,SUV,67000,Manual,1,Tata,Tata Hexa,2019,XT,95000.0,2019,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,17.6,2179,7.0,Delhi
Diesel,Hatchback,37000,Manual,1,Maruti,Maruti Baleno,2019,Zeta Diesel,65000.0,2019,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,27.39,1248,5.0,Delhi
Petrol,Sedan,8000,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2020,Progressive C 200,439900.0,2020,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Cd Player,11.9,1950,5.0,Delhi
Diesel,SUV,54000,Manual,1,Maruti,Maruti SX4 S Cross,2017,DDiS 200 Delta,59500.0,2017,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Centeral Locking,Power Door Locks,Cd Player,23.65,1248,,Delhi
Diesel,Sedan,120000,Manual,1,Honda,Honda City,2014,i DTEC VX,49900.0,2014,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,25.1,1498,5.0,Delhi
Petrol,Sedan,70000,Manual,2,Maruti,Maruti Swift Dzire,2010,VXi,15000.0,2010,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Fog Lights Front,Fog Lights Rear,Centeral Locking,Power Door Locks,Cd Player,17.5,1298,5.0,Delhi
Petrol,SUV,17000,Automatic,1,Mercedes-Benz,Mercedes-Benz GLC,2022,200,630000.0,2022,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,12.74,1991,5.0,Delhi
Diesel,SUV,45000,Automatic,1,Mercedes-Benz,Mercedes-Benz GLS,2016,350d 4MATIC,520000.0,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,11.0,2987,7.0,Delhi
Petrol,Hatchback,19717,Manual,1,Maruti,Maruti Celerio,2018,ZXI,45900.0,2018,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,25.24,998,,Delhi
Petrol,Sedan,20000,Automatic,1,BMW,BMW 3 Series Gran Limousine,2021,330Li M Sport First Edition,519000.0,2021,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,15.3,1998,5.0,Delhi
Petrol,Hatchback,35495,Manual,1,Maruti,Maruti Alto K10,2017,VXI,33200.0,2017,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,24.39,998,,Delhi
