ft,bt,km,transmission,ownerNo,oem,model,modelYear,variantName,price,Registration Year,Insurance_Type,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Mileage kmpl,Engine CC,seater,City
Diesel,Sedan,40000,Automatic,2,Audi,Audi A4,2016,35 TDI Premium,178500.0,2016,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,17.11,1968,5.0,Bangalore
Diesel,SUV,79012,Manual,2,Mahindra,Mahindra XUV500,2014,W8 2WD,80300.0,2014,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,15.1,2179,7.0,Bangalore
Diesel,SUV,31344,Manual,1,Jeep,Jeep Compass,2021,Model S Diesel BSVI,256500.0,2021,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,17.1,1956,5.0,Bangalore
Petrol,Sedan,50000,Manual,1,Hyundai,Hyundai Xcent,2018,1.2 VTVT SX,67400.0,2018,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,20.14,1197,5.0,Bangalore
Petrol,Hatchback,12434,Manual,1,Maruti,Maruti Wagon R,2015,VXI BS IV,34900.0,2015,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Centeral Locking,Power Door Locks,Cd Player,20.51,998,,Bangalore
Petrol,MUV,60000,Manual,2,Maruti,Maruti Ertiga,2019,ZXI Plus Petrol,105000.0,2019,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,19.34,1462,,Bangalore
Diesel,Sedan,12000,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2019,Progressive C 220d,442500.0,2019,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Cd Player,12.6,1950,5.0,Bangalore
Petrol,Hatchback,40987,Manual,2,Maruti,Maruti Wagon R,2015,VXI BS IV,40599.99999999999,2015,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Centeral Locking,Power Door Locks,Cd Player,20.51,998,,Bangalore
Petrol,Sedan,18157,Automatic,1,BMW,BMW 5 Series,2020,530i Sport,496500.0,2020,Zero Dep,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Changer,15.56,1998,5.0,Bangalore
Diesel,SUV,120000,Manual,3,Toyota,Toyota Fortuner,2011,3.0 Diesel,110000.0,2011,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,11.5,2982,7.0,Bangalore
Diesel,SUV,40000,Automatic,2,Renault,Renault Duster,2020,RXZ 110PS AMT BSIV,110000.0,2020,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,19.87,1461,5.0,Bangalore
Petrol,Hatchback,89667,Manual,1,Hyundai,Hyundai i20,2016,Sportz 1.2,59400.00000000001,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,18.6,1197,,Bangalore
Diesel,Hatchback,120000,Manual,1,Hyundai,Hyundai i20,2017,Asta Option 1.4 CRDi,71000.0,2017,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,22.54,1396,5.0,Bangalore
Petrol,Hatchback,56997,Manual,1,Maruti,Maruti Baleno,2017,1.2 Zeta,69200.0,2017,Zero Dep,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,21.4,1197,5.0,Bangalore
Petrol,Sedan,120000,Manual,1,Hyundai,Hyundai Elantra,2013,SX,65000.0,2013,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,16.3,1797,5.0,Bangalore
