ft,km,transmission,ownerNo,oem,model,modelYear,variantName,price,Mileage kmpl,Engine CC,seater,City
Petrol,36685,Manual,2,Honda,Honda Brio,2016,S MT,46200.0,19.4,1198.0,3.0,Bangalore
Diesel,120000,Automatic,2,Hyundai,Hyundai Santa Fe,2012,4x4 AT,90000.0,11.72,2199.0,7.0,Bangalore
Petrol,4000,Automatic,1,BMW,BMW 6 Series,2022,GT 630i M Sport BSVI,790000.0,13.32,1998.0,4.0,Bangalore
Petrol,32184,Automatic,2,Maruti,Maruti Baleno,2019,1.2 CVT Alpha,84300.0,21.4,1197.0,5.0,Bangalore
Petrol,32279,Manual,1,Maruti,Maruti Baleno RS,2018,1.0 Petrol,79900.0,21.1,998.0,3.0,Bangalore
Petrol,59698,Manual,1,Hyundai,Hyundai i20,2015,Asta Option 1.2,57600.0,18.6,1197.0,5.0,Bangalore
Diesel,46071,Manual,1,Renault,Renault Captur,2018,1.5 Diesel Platine,94900.0,20.37,1461.0,5.0,Bangalore
Diesel,90000,Manual,1,Maruti,Maruti Vitara Brezza,2017,ZDi,79500.0,24.3,1248.0,5.0,Bangalore
Petrol,9554,Manual,1,Hyundai,Hyundai Venue,2019,SX Turbo BSIV,108500.0,18.27,998.0,5.0,Bangalore
Petrol,14000,Automatic,1,Jeep,Jeep Compass,2022,1.4 Limited Opt DCT BSVI,259000.0,14.1,1368.0,5.0,Bangalore
Diesel,74499,Manual,2,Renault,Renault Duster,2013,85PS Diesel RxE,51600.0,20.45,1461.0,5.0,Bangalore
Petrol,56211,Automatic,2,Ford,Ford Ecosport,2017,1.5 Petrol Trend Plus AT BSIV,77700.0,14.8,1497.0,3.0,Bangalore
Petrol,9001,Manual,1,Honda,Honda Jazz,2019,V,75300.0,18.2,1199.0,5.0,Bangalore
Diesel,65457,Automatic,2,Mahindra,Mahindra XUV500,2017,AT W10 1.99 mHawk,122600.0,16.0,1997.0,7.0,Bangalore
Petrol,23682,Manual,1,Honda,Honda Jazz,2017,1.2 V i VTEC,72500.0,18.7,1199.0,5.0,Bangalore
Diesel,50000,Manual,1,Hyundai,Hyundai Verna,2020,CRDi 1.6 SX,115000.0,22.0,1582.0,5.0,Bangalore
Diesel,134557,Manual,2,Maruti,Maruti Swift,2015,ZDI BSIV,62900.0,25.2,1248.0,5.0,Bangalore
Petrol,96567,Manual,2,Maruti,Maruti Swift Dzire,2013,VXI,44700.0,22.41,1197.0,3.0,Bangalore
Petrol,120000,Manual,3,Maruti,Maruti Celerio,2015,VXI,40000.0,23.1,998.0,3.0,Bangalore
Diesel,83007,Manual,2,Maruti,Maruti Ertiga,2014,ZDI,78600.0,20.77,1248.0,7.0,Bangalore
Petrol,34000,Manual,1,Honda,Honda Jazz,2018,1.2 VX i VTEC,74500.0,18.7,1199.0,5.0,Bangalore
Petrol,81634,Automatic,1,Hyundai,Hyundai Grand i10,2014,AT Asta,49000.0,18.9,1197.0,5.0,Bangalore
Petrol,57284,Automatic,2,Honda,Honda City,2017,i-VTEC CVT ZX,94200.0,18.0,1497.0,5.0,Bangalore
Petrol,70000,Automatic,2,Ford,Ford Ecosport,2016,1.5 Ti VCT AT Titanium BSIV,67500.0,15.63,1499.0,5.0,Bangalore
Petrol,70000,Manual,2,Honda,Honda Brio,2013,S MT,33000.0,19.4,1198.0,3.0,Bangalore
Petrol,46429,Automatic,2,Toyota,Toyota Yaris,2018,G CVT BSIV,87500.0,17.8,1496.0,3.0,Bangalore
Petrol,17624,Manual,1,Maruti,Maruti Baleno,2017,1.2 Alpha,86900.0,21.4,1197.0,5.0,Bangalore
